factor_id,unit,context,name,fullname
109,kg,emission/air,Hg,Hg - non combustion - Production of gascoke - air
110,kg,emission/air,Hg,"Hg - non combustion - Refined copper; unwrought, not alloyed - air"
111,kg,emission/air,Hg,"Hg - non combustion - Refined lead, unwrought - air"
112,kg,emission/air,HCB,HCB - non combustion - Secondary aluminium production - air
113,kg,emission/air,Hg,Hg - non combustion - Steel production: basic oxygen furnace - air
114,kg,emission/air,Hg,Hg - non combustion - Steel production: electric arc furnace - air
115,kg,emission/air,Hg,Hg - non combustion - Unrefined copper; copper anodes for electrolytic refining - air
116,kg,emission/air,Hg,"Hg - non combustion - Zinc, unwrought, not alloyed - air"
117,kg,emission/air,Indeno,Indeno - non combustion - Primary aluminium production - air
118,kg,emission/air,Indeno,Indeno - non combustion - Production of coke oven coke - air
119,kg,emission/air,Indeno,Indeno - non combustion - Production of gascoke - air
120,kg,emission/air,NH3,NH3 - non combustion - N- fertilizer production - air
121,kg,emission/air,NMVOC,NMVOC - non combustion - Beef and veal - air
122,kg,emission/air,NMVOC,NMVOC - non combustion - Coil coating (coating of aluminum and steel) - air
123,kg,emission/air,NMVOC,NMVOC - non combustion - Decorative paint applicatoin - air
124,kg,emission/air,NMVOC,NMVOC - non combustion - Degreasing - air
125,kg,emission/air,NMVOC,NMVOC - non combustion - Diesel distribution - transport and depots (used in mobile sources) - air
126,kg,emission/air,NMVOC,NMVOC - non combustion - Diesel distribution - transport and depots (used in stationary sources) - air
127,kg,emission/air,NMVOC,NMVOC - non combustion - Dry cleaning - air
128,kg,emission/air,NMVOC,"NMVOC - non combustion - Extraction, proc. and distribution of gaseous fuels - air"
129,kg,emission/air,NMVOC,"NMVOC - non combustion - Extraction, proc. and distribution of liquid fuels - air"
130,kg,emission/air,NMVOC,NMVOC - non combustion - Extraction/production of (natural) gas - air
131,kg,emission/air,NMVOC,NMVOC - non combustion - Extraction/production of crude oil - air
132,kg,emission/air,NMVOC,"NMVOC - non combustion - Fat, edible and non-edible oil extraction - air"
133,kg,emission/air,NMVOC,"NMVOC - non combustion - Fish, dried, salted or in brine; smoked fish; edible fish meal - air"
134,kg,emission/air,NMVOC,"NMVOC - non combustion - Fish, fish fillets, other fish meat and fish livers and roes, frozen - air"
135,kg,emission/air,NMVOC,"NMVOC - non combustion - Fish, otherwise prepared or preserved; caviar - air"
136,kg,emission/air,NMVOC,NMVOC - non combustion - Flexography and rotogravure in packaging - air
137,kg,emission/air,NMVOC,NMVOC - non combustion - Gasoline distribution - service stations - air
138,kg,emission/air,NMVOC,NMVOC - non combustion - Gasoline distribution - transport and depots (used in mobile sources) - air
139,kg,emission/air,NMVOC,NMVOC - non combustion - Gasoline distribution - transport and depots (used in stationary sources) - air
140,kg,emission/air,NMVOC,NMVOC - non combustion - Industrial application of adhesives (use of high performance solvent based adhesives) - air
141,kg,emission/air,NMVOC,NMVOC - non combustion - Industrial application of adhesives (use of traditional solvent based adhesives) - air
142,kg,emission/air,NMVOC,"NMVOC - non combustion - Industrial paint application, general industry (continuous processes) - air"
143,kg,emission/air,NMVOC,"NMVOC - non combustion - Industrial paint application, general industry (plastic parts) - air"
144,kg,emission/air,NMVOC,"NMVOC - non combustion - Industrial paint application, general industry - air"
145,kg,emission/air,NMVOC,"NMVOC - non combustion - Inorganic chemical industry, fertilizers and other - air"
146,kg,emission/air,NMVOC,NMVOC - non combustion - Leather coating - air
147,kg,emission/air,NMVOC,NMVOC - non combustion - Manufacture of automobiles - air
148,kg,emission/air,NMVOC,NMVOC - non combustion - Mutton and lamb - air
149,kg,emission/air,NMVOC,NMVOC - non combustion - Oil refinery - air
150,kg,emission/air,NMVOC,NMVOC - non combustion - Organic chemical industry - downstream units - air
151,kg,emission/air,NMVOC,"NMVOC - non combustion - Organic chemical industry, storage - air"
152,kg,emission/air,NMVOC,NMVOC - non combustion - Other industrial use of solvents - air
153,kg,emission/air,NMVOC,NMVOC - non combustion - Pharmaceutical industry - air
154,kg,emission/air,NMVOC,NMVOC - non combustion - Polystyrene processing - air
155,kg,emission/air,NMVOC,NMVOC - non combustion - Polyvinylchloride produceduction by suspension process - air
156,kg,emission/air,NMVOC,NMVOC - non combustion - Pork - air
157,kg,emission/air,NMVOC,"NMVOC - non combustion - Poultry, dressed - air"
158,kg,emission/air,NMVOC,"NMVOC - non combustion - Printing, offset - air"
159,kg,emission/air,NMVOC,NMVOC - non combustion - Products incorporating solvents - air
160,kg,emission/air,NMVOC,NMVOC - non combustion - Raw sugar - air
161,kg,emission/air,NMVOC,NMVOC - non combustion - Rotogravure in publication - air
162,kg,emission/air,NMVOC,NMVOC - non combustion - Screen printing - air
163,kg,emission/air,NMVOC,NMVOC - non combustion - Steam cracking (ethylene and propylene production) - air
164,kg,emission/air,NMVOC,NMVOC - non combustion - Synthetic rubber - air
165,kg,emission/air,NMVOC,NMVOC - non combustion - Tyre production - air
166,kg,emission/air,NMVOC,NMVOC - non combustion - Vehicle refinishing - air
167,kg,emission/air,NMVOC,NMVOC - non combustion - Wire coating - air
168,kg,emission/air,NOx,NOx - non combustion - Agglomeration plant - pellets - air
169,kg,emission/air,NOx,NOx - non combustion - Agglomeration plant - sinter - air
170,kg,emission/air,NOx,NOx - non combustion - Bricks production - air
171,kg,emission/air,NOx,NOx - non combustion - Cement production - air
172,kg,emission/air,NOx,"NOx - non combustion - Chemical wood pulp, dissolving grades - air"
173,kg,emission/air,NOx,"NOx - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air"
174,kg,emission/air,NOx,"NOx - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air"
175,kg,emission/air,NOx,NOx - non combustion - Glass production - air
176,kg,emission/air,NOx,NOx - non combustion - Lime production - air
177,kg,emission/air,NOx,"NOx - non combustion - Nickel, unwrought - air"
178,kg,emission/air,NOx,NOx - non combustion - Oil refinery - air
179,kg,emission/air,NOx,"NOx - non combustion - Pig iron production, blast furnace - air"
180,kg,emission/air,NOx,NOx - non combustion - Production of coke oven coke - air
181,kg,emission/air,NOx,NOx - non combustion - Production of gascoke - air
182,kg,emission/air,NOx,"NOx - non combustion - Refined copper; unwrought, not alloyed - air"
183,kg,emission/air,NOx,"NOx - non combustion - Refined lead, unwrought - air"
184,kg,emission/air,NOx,"NOx - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air"
185,kg,emission/air,NOx,NOx - non combustion - Steel production: basic oxygen furnace - air
186,kg,emission/air,NOx,NOx - non combustion - Steel production: electric arc furnace - air
187,kg,emission/air,NOx,NOx - non combustion - Sulphuric acid production - air
188,kg,emission/air,NOx,NOx - non combustion - Unrefined copper; copper anodes for electrolytic refining - air
189,kg,emission/air,NOx,"NOx - non combustion - Zinc, unwrought, not alloyed - air"
190,kg,emission/air,Ni,Ni - non combustion - Agglomeration plant - pellets - air
191,kg,emission/air,Ni,Ni - non combustion - Agglomeration plant - sinter - air
192,kg,emission/air,Ni,Ni - non combustion - Glass production - air
193,kg,emission/air,Ni,Ni - non combustion - Production of coke oven coke - air
194,kg,emission/air,Ni,Ni - non combustion - Production of gascoke - air
195,kg,emission/air,Ni,Ni - non combustion - Steel production: basic oxygen furnace - air
196,kg,emission/air,Ni,Ni - non combustion - Steel production: electric arc furnace - air
197,kg,emission/air,Ni,Ni - non combustion - Steel production: open hearth furnace - air
198,kg,emission/air,PAH,PAH - non combustion - Agglomeration plant - pellets - air
199,kg,emission/air,PAH,PAH - non combustion - Agglomeration plant - sinter - air
200,kg,emission/air,PAH,"PAH - non combustion - Pig iron production, blast furnace - air"
201,kg,emission/air,PAH,PAH - non combustion - Production of coke oven coke - air
202,kg,emission/air,PAH,PAH - non combustion - Production of gascoke - air
203,kg,emission/air,PAH,PAH - non combustion - Steel production: basic oxygen furnace - air
204,kg,emission/air,PAH,PAH - non combustion - Steel production: electric arc furnace - air
205,kg,emission/air,PCB,PCB - non combustion - Agglomeration plant - pellets - air
206,kg,emission/air,PCB,PCB - non combustion - Agglomeration plant - sinter - air
207,kg,emission/air,PCB,"PCB - non combustion - Pig iron production, blast furnace - air"
208,kg,emission/air,PCB,PCB - non combustion - Steel production: basic oxygen furnace - air
209,kg,emission/air,PCB,PCB - non combustion - Steel production: electric arc furnace - air
210,kg,emission/air,PCDD/F,PCDD/F - non combustion - Agglomeration plant - pellets - air
211,kg,emission/air,PCDD/F,PCDD/F - non combustion - Agglomeration plant - sinter - air
212,kg,emission/air,PCDD/F,"PCDD/F - non combustion - Pig iron production, blast furnace - air"
213,kg,emission/air,PCDD/F,PCDD/F - non combustion - Secondary aluminium production - air
214,kg,emission/air,PCDD/F,PCDD/F - non combustion - Steel production: basic oxygen furnace - air
215,kg,emission/air,PCDD/F,PCDD/F - non combustion - Steel production: electric arc furnace - air
216,kg,emission/air,PM10,PM10 - non combustion - Agglomeration plant - pellets - air
217,kg,emission/air,PM10,PM10 - non combustion - Agglomeration plant - sinter - air
218,kg,emission/air,PM10,PM10 - non combustion - Aluminium ores and concentrates (Bauxite) - air
219,kg,emission/air,PM10,PM10 - non combustion - Bricks production - air
220,kg,emission/air,PM10,PM10 - non combustion - Briquettes production - air
221,kg,emission/air,PM10,PM10 - non combustion - Carbon black production - air
222,kg,emission/air,PM10,PM10 - non combustion - Cast iron production (grey iron foundries) - air
223,kg,emission/air,PM10,PM10 - non combustion - Cement production - air
224,kg,emission/air,PM10,"PM10 - non combustion - Chemical wood pulp, dissolving grades - air"
225,kg,emission/air,PM10,"PM10 - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air"
226,kg,emission/air,PM10,"PM10 - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air"
227,kg,emission/air,PM10,PM10 - non combustion - Chromium ores and concentrates - air
228,kg,emission/air,PM10,PM10 - non combustion - Copper ores and concentrates - air
229,kg,emission/air,PM10,PM10 - non combustion - Fertilizer production (N-fertilizer) - air
230,kg,emission/air,PM10,PM10 - non combustion - Glass production - air
231,kg,emission/air,PM10,PM10 - non combustion - Gold ores and concentrates - air
232,kg,emission/air,PM10,PM10 - non combustion - Iron ores and concentrates - air
233,kg,emission/air,PM10,PM10 - non combustion - Lead ores and concentrates - air
234,kg,emission/air,PM10,PM10 - non combustion - Lime production - air
235,kg,emission/air,PM10,PM10 - non combustion - Mining of antracite - air
236,kg,emission/air,PM10,PM10 - non combustion - Mining of bituminous coal - air
237,kg,emission/air,PM10,PM10 - non combustion - Mining of coking coal - air
238,kg,emission/air,PM10,PM10 - non combustion - Mining of lignite (brown coal) - air
239,kg,emission/air,PM10,PM10 - non combustion - Mining of sub-bituminous coal - air
240,kg,emission/air,PM10,PM10 - non combustion - Molybdenum ores and concentrates - air
241,kg,emission/air,PM10,PM10 - non combustion - N- fertilizer production - air
242,kg,emission/air,PM10,PM10 - non combustion - Nickel ores and concentrates - air
243,kg,emission/air,PM10,"PM10 - non combustion - Nickel, unwrought - air"
244,kg,emission/air,PM10,PM10 - non combustion - Oil refinery - air
245,kg,emission/air,PM10,"PM10 - non combustion - Pig iron production, blast furnace - air"
246,kg,emission/air,PM10,PM10 - non combustion - Platinum ores and concentrates - air
247,kg,emission/air,PM10,PM10 - non combustion - Primary aluminium production - air
248,kg,emission/air,PM10,PM10 - non combustion - Production of coke oven coke - air
249,kg,emission/air,PM10,PM10 - non combustion - Production of gascoke - air
250,kg,emission/air,PM10,"PM10 - non combustion - Refined copper; unwrought, not alloyed - air"
251,kg,emission/air,PM10,"PM10 - non combustion - Refined lead, unwrought - air"
252,kg,emission/air,PM10,PM10 - non combustion - Secondary aluminium production - air
253,kg,emission/air,PM10,"PM10 - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air"
254,kg,emission/air,PM10,PM10 - non combustion - Silver ores and concentrates - air
255,kg,emission/air,PM10,PM10 - non combustion - Steel production: basic oxygen furnace - air
256,kg,emission/air,PM10,PM10 - non combustion - Steel production: electric arc furnace - air
257,kg,emission/air,PM10,PM10 - non combustion - Steel production: open hearth furnace - air
258,kg,emission/air,PM10,PM10 - non combustion - Tin ores and concentrates - air
259,kg,emission/air,PM10,PM10 - non combustion - Unrefined copper; copper anodes for electrolytic refining - air
260,kg,emission/air,PM10,PM10 - non combustion - Zinc ores and concentrates - air
261,kg,emission/air,PM10,"PM10 - non combustion - Zinc, unwrought, not alloyed - air"
262,kg,emission/air,PM2.5,PM2.5 - non combustion - Agglomeration plant - pellets - air
263,kg,emission/air,PM2.5,PM2.5 - non combustion - Agglomeration plant - sinter - air
264,kg,emission/air,PM2.5,PM2.5 - non combustion - Aluminium ores and concentrates (Bauxite) - air
265,kg,emission/air,PM2.5,PM2.5 - non combustion - Bricks production - air
266,kg,emission/air,PM2.5,PM2.5 - non combustion - Briquettes production - air
267,kg,emission/air,PM2.5,PM2.5 - non combustion - Carbon black production - air
268,kg,emission/air,PM2.5,PM2.5 - non combustion - Cast iron production (grey iron foundries) - air
269,kg,emission/air,PM2.5,PM2.5 - non combustion - Cement production - air
270,kg,emission/air,PM2.5,"PM2.5 - non combustion - Chemical wood pulp, dissolving grades - air"
271,kg,emission/air,PM2.5,"PM2.5 - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air"
272,kg,emission/air,PM2.5,"PM2.5 - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air"
273,kg,emission/air,PM2.5,PM2.5 - non combustion - Chromium ores and concentrates - air
274,kg,emission/air,PM2.5,PM2.5 - non combustion - Copper ores and concentrates - air
275,kg,emission/air,PM2.5,PM2.5 - non combustion - Fertilizer production (N-fertilizer) - air
276,kg,emission/air,PM2.5,PM2.5 - non combustion - Glass production - air
277,kg,emission/air,PM2.5,PM2.5 - non combustion - Gold ores and concentrates - air
278,kg,emission/air,PM2.5,PM2.5 - non combustion - Iron ores and concentrates - air
279,kg,emission/air,PM2.5,PM2.5 - non combustion - Lead ores and concentrates - air
280,kg,emission/air,PM2.5,PM2.5 - non combustion - Lime production - air
281,kg,emission/air,PM2.5,PM2.5 - non combustion - Mining of antracite - air
282,kg,emission/air,PM2.5,PM2.5 - non combustion - Mining of bituminous coal - air
283,kg,emission/air,PM2.5,PM2.5 - non combustion - Mining of coking coal - air
284,kg,emission/air,PM2.5,PM2.5 - non combustion - Mining of lignite (brown coal) - air
285,kg,emission/air,PM2.5,PM2.5 - non combustion - Mining of sub-bituminous coal - air
286,kg,emission/air,PM2.5,PM2.5 - non combustion - Molybdenum ores and concentrates - air
287,kg,emission/air,PM2.5,PM2.5 - non combustion - N- fertilizer production - air
288,kg,emission/air,PM2.5,PM2.5 - non combustion - Nickel ores and concentrates - air
289,kg,emission/air,PM2.5,"PM2.5 - non combustion - Nickel, unwrought - air"
290,kg,emission/air,PM2.5,PM2.5 - non combustion - Oil refinery - air
291,kg,emission/air,PM2.5,"PM2.5 - non combustion - Pig iron production, blast furnace - air"
292,kg,emission/air,PM2.5,PM2.5 - non combustion - Platinum ores and concentrates - air
293,kg,emission/air,PM2.5,PM2.5 - non combustion - Primary aluminium production - air
294,kg,emission/air,PM2.5,PM2.5 - non combustion - Production of coke oven coke - air
295,kg,emission/air,PM2.5,PM2.5 - non combustion - Production of gascoke - air
296,kg,emission/air,PM2.5,"PM2.5 - non combustion - Refined copper; unwrought, not alloyed - air"
297,kg,emission/air,PM2.5,"PM2.5 - non combustion - Refined lead, unwrought - air"
298,kg,emission/air,PM2.5,PM2.5 - non combustion - Secondary aluminium production - air
299,kg,emission/air,PM2.5,"PM2.5 - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air"
300,kg,emission/air,PM2.5,PM2.5 - non combustion - Silver ores and concentrates - air
301,kg,emission/air,PM2.5,PM2.5 - non combustion - Steel production: basic oxygen furnace - air
302,kg,emission/air,PM2.5,PM2.5 - non combustion - Steel production: electric arc furnace - air
303,kg,emission/air,PM2.5,PM2.5 - non combustion - Steel production: open hearth furnace - air
304,kg,emission/air,PM2.5,PM2.5 - non combustion - Tin ores and concentrates - air
305,kg,emission/air,PM2.5,PM2.5 - non combustion - Unrefined copper; copper anodes for electrolytic refining - air
306,kg,emission/air,PM2.5,PM2.5 - non combustion - Zinc ores and concentrates - air
307,kg,emission/air,PM2.5,"PM2.5 - non combustion - Zinc, unwrought, not alloyed - air"
308,kg,emission/air,Pb,Pb - non combustion - Agglomeration plant - pellets - air
309,kg,emission/air,Pb,Pb - non combustion - Agglomeration plant - sinter - air
310,kg,emission/air,Pb,Pb - non combustion - Glass production - air
311,kg,emission/air,Pb,"Pb - non combustion - Nickel, unwrought - air"
312,kg,emission/air,Pb,"Pb - non combustion - Pig iron production, blast furnace - air"
313,kg,emission/air,Pb,Pb - non combustion - Production of coke oven coke - air
314,kg,emission/air,Pb,Pb - non combustion - Production of gascoke - air
315,kg,emission/air,Pb,"Pb - non combustion - Refined copper; unwrought, not alloyed - air"
316,kg,emission/air,Pb,"Pb - non combustion - Refined lead, unwrought - air"
317,kg,emission/air,Pb,Pb - non combustion - Steel production: basic oxygen furnace - air
318,kg,emission/air,Pb,Pb - non combustion - Steel production: electric arc furnace - air
319,kg,emission/air,Pb,Pb - non combustion - Steel production: open hearth furnace - air
320,kg,emission/air,Pb,Pb - non combustion - Unrefined copper; copper anodes for electrolytic refining - air
321,kg,emission/air,Pb,"Pb - non combustion - Zinc, unwrought, not alloyed - air"
322,kg,emission/air,SOx,SOx - non combustion - Agglomeration plant - sinter - air
323,kg,emission/air,SOx,SOx - non combustion - Bricks production - air
324,kg,emission/air,SOx,SOx - non combustion - Cement production - air
325,kg,emission/air,SOx,"SOx - non combustion - Chemical wood pulp, dissolving grades - air"
326,kg,emission/air,SOx,"SOx - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air"
327,kg,emission/air,SOx,"SOx - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air"
328,kg,emission/air,SOx,SOx - non combustion - Glass production - air
329,kg,emission/air,SOx,SOx - non combustion - Lime production - air
330,kg,emission/air,SOx,"SOx - non combustion - Nickel, unwrought - air"
331,kg,emission/air,SOx,SOx - non combustion - Oil refinery - air
332,kg,emission/air,SOx,"SOx - non combustion - Pig iron production, blast furnace - air"
333,kg,emission/air,SOx,SOx - non combustion - Production of coke oven coke - air
334,kg,emission/air,SOx,SOx - non combustion - Production of gascoke - air
335,kg,emission/air,SOx,"SOx - non combustion - Refined copper; unwrought, not alloyed - air"
336,kg,emission/air,SOx,"SOx - non combustion - Refined lead, unwrought - air"
337,kg,emission/air,SOx,"SOx - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air"
338,kg,emission/air,SOx,SOx - non combustion - Sulphuric acid production - air
339,kg,emission/air,SOx,SOx - non combustion - Unrefined copper; copper anodes for electrolytic refining - air
340,kg,emission/air,SOx,"SOx - non combustion - Zinc, unwrought, not alloyed - air"
341,kg,emission/air,Se,Se - non combustion - Agglomeration plant - pellets - air
342,kg,emission/air,Se,Se - non combustion - Agglomeration plant - sinter - air
343,kg,emission/air,Se,Se - non combustion - Glass production - air
344,kg,emission/air,Se,Se - non combustion - Steel production: basic oxygen furnace - air
345,kg,emission/air,TSP,TSP - non combustion - Agglomeration plant - pellets - air
346,kg,emission/air,TSP,TSP - non combustion - Agglomeration plant - sinter - air
347,kg,emission/air,TSP,TSP - non combustion - Aluminium ores and concentrates (Bauxite) - air
348,kg,emission/air,TSP,TSP - non combustion - Bricks production - air
349,kg,emission/air,TSP,TSP - non combustion - Briquettes production - air
350,kg,emission/air,TSP,TSP - non combustion - Carbon black production - air
351,kg,emission/air,TSP,TSP - non combustion - Cast iron production (grey iron foundries) - air
352,kg,emission/air,TSP,TSP - non combustion - Cement production - air
353,kg,emission/air,TSP,"TSP - non combustion - Chemical wood pulp, dissolving grades - air"
354,kg,emission/air,TSP,"TSP - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air"
355,kg,emission/air,TSP,"TSP - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air"
356,kg,emission/air,TSP,TSP - non combustion - Chromium ores and concentrates - air
357,kg,emission/air,TSP,TSP - non combustion - Copper ores and concentrates - air
358,kg,emission/air,TSP,TSP - non combustion - Fertilizer production (N-fertilizer) - air
359,kg,emission/air,TSP,TSP - non combustion - Glass production - air
360,kg,emission/air,TSP,TSP - non combustion - Gold ores and concentrates - air
361,kg,emission/air,TSP,TSP - non combustion - Iron ores and concentrates - air
362,kg,emission/air,TSP,TSP - non combustion - Lead ores and concentrates - air
363,kg,emission/air,TSP,TSP - non combustion - Lime production - air
364,kg,emission/air,TSP,TSP - non combustion - Mining of antracite - air
365,kg,emission/air,TSP,TSP - non combustion - Mining of bituminous coal - air
