trade_id,year,region1,region2,industry1,industry2,amount,total_materials_value,materials_count,unique_materials_factors,natural_resource/in_ground,materials_Metals,materials_Minerals,materials_Fossil,materials_Other_Materials,materials_intensity
8473,2019,IN,IN,PADDY,PROCE,12208.37,2557706.988,42.0,42.0,2557706.988,994636.947,768555.428,677502.788,2557706.988,209.50438
2418,2019,IN,IN,COMPU,COMPU,10860.37,2537904.072,42.0,42.0,2537904.072,823641.314,832122.753,692986.606,2537904.072,233.684863
1678,2019,IN,IN,CERAM,CONST,12000.49,2456449.882,42.0,42.0,2456449.882,875072.65,1001094.652,455125.01,2456449.882,204.695798
10519,2019,IN,IN,RENTI,CONST,11004.03,2419216.928,42.0,42.0,2419216.928,745713.212,924261.549,632841.987,2419216.928,219.848267
4533,2019,IN,IN,FINAN,CONST,9059.36,2405129.414,42.0,42.0,2405129.414,944346.946,612350.654,668578.054,2405129.414,265.485577
12973,2019,IN,IN,WHOLE,TEXTI,11247.17,2332288.886,42.0,42.0,2332288.886,795939.913,860682.873,563145.47,2332288.886,207.366732
10106,2019,IN,IN,RAWMI,DAIRY,11453.5,2310217.29,42.0,42.0,2310217.29,916057.162,844645.265,466712.905,2310217.29,201.704046
5179,2019,IN,IN,FOUND,CONST,11859.08,2297806.821,42.0,42.0,2297806.821,863396.135,783133.981,390786.849,2297806.821,193.759282
11110,2019,IN,IN,SALEM,LANDT,10818.9,2285976.217,42.0,42.0,2285976.217,947150.217,745162.142,421838.067,2285976.217,211.294699
2846,2019,IN,IN,CRUDE,LIQUE,3967.11,2257009.473,42.0,42.0,2257009.473,836219.115,747288.411,555174.64,2257009.473,568.930398
7719,2019,IN,IN,NAPHT,ELEC1,10250.55,2198176.504,42.0,42.0,2198176.504,833000.066,592611.665,585190.189,2198176.504,214.444738
8955,2019,IN,IN,PLANT,TEXTI,11463.22,2174496.004,42.0,42.0,2174496.004,737366.628,683144.78,596350.479,2174496.004,189.693298
12408,2019,IN,IN,VEGET,BEVER,8621.91,2117029.181,42.0,42.0,2117029.181,788157.221,707247.597,463925.979,2117029.181,245.540626
13009,2019,IN,IN,WOODW,CONST,9448.95,2084247.501,42.0,42.0,2084247.501,646038.148,770714.732,475109.179,2084247.501,220.5798
1398,2019,IN,IN,BUSIN,CONST,9127.86,2066783.602,42.0,42.0,2066783.602,755616.253,629401.994,539755.117,2066783.602,226.425866
759,2019,IN,IN,BASIC,RADIO,2995.43,2041371.59,42.0,42.0,2041371.59,752809.737,650610.261,480633.197,2041371.59,681.495341
8122,2019,IN,IN,NONME,CONST,9824.03,2035444.337,42.0,42.0,2035444.337,802057.405,586825.346,515390.82,2035444.337,207.190363
12891,2019,IN,IN,WHOLE,FISH5,8953.81,1917811.478,42.0,42.0,1917811.478,806046.43,698983.237,315737.82,1917811.478,214.189432
775,2019,IN,IN,BASIC,TRANS,3509.09,1882672.921,42.0,42.0,1882672.921,649875.973,513325.156,608485.384,1882672.921,536.513148
1416,2019,IN,IN,BUSIN,FINAN,8269.94,1843541.605,42.0,42.0,1843541.605,699344.046,676838.117,342186.734,1843541.605,222.920796
2850,2019,IN,IN,CRUDE,NAPHT,2641.02,1784585.88,42.0,42.0,1784585.88,522200.25,627290.163,494402.14,1784585.88,675.718427
2845,2019,IN,IN,CRUDE,KEROS,2833.04,1733317.307,42.0,42.0,1733317.307,642344.34,534978.953,424914.152,1733317.307,611.822391
6380,2019,IN,IN,LANDT,TEXTI,7495.44,1605219.31,42.0,42.0,1605219.31,542270.609,477376.044,436967.603,1605219.31,214.15945
6316,2019,IN,IN,LANDT,LANDT,7126.53,1562735.842,42.0,42.0,1562735.842,564968.468,508650.371,387202.246,1562735.842,219.284258
8762,2019,IN,IN,PFERT,PADDY,7363.25,1545709.351,42.0,42.0,1545709.351,481142.072,434182.057,511546.59,1545709.351,209.922161
6245,2019,IN,IN,KEROS,AIRTR,6362.85,1544446.659,42.0,42.0,1544446.659,551922.818,475210.495,395049.138,1544446.659,242.728755
10945,2019,IN,IN,RUBBE,CONST,6892.95,1538766.642,42.0,42.0,1538766.642,653108.059,492117.922,308846.013,1538766.642,223.237749
7639,2019,IN,IN,MOTOR,LANDT,7592.34,1535090.787,42.0,42.0,1535090.787,759976.04,457016.134,228238.238,1535090.787,202.189416
11688,2019,IN,IN,SUPPO,LANDT,6772.41,1528971.461,42.0,42.0,1528971.461,459182.155,475042.389,461250.654,1528971.461,225.764752
5155,2019,IN,IN,FORES,WOODW,7248.24,1523520.773,42.0,42.0,1523520.773,492799.25,393405.154,508242.376,1523520.773,210.191822
10545,2019,IN,IN,RENTI,LANDT,6055.11,1516011.796,42.0,42.0,1516011.796,568611.805,464438.427,369799.286,1516011.796,250.368993
12787,2019,IN,IN,WHEAT,FOOD5,7677.57,1510351.685,42.0,42.0,1510351.685,439314.654,679727.678,301661.383,1510351.685,196.72262
1386,2019,IN,IN,BUSIN,BUSIN,7764.77,1510215.027,42.0,42.0,1510215.027,620833.805,436541.707,390654.521,1510215.027,194.495784
3089,2019,IN,IN,DISTR,DISTR,7615.56,1474983.961,42.0,42.0,1474983.961,499583.106,455410.401,347996.681,1474983.961,193.680302
7630,2019,IN,IN,MOTOR,GASDI,7531.42,1467159.274,42.0,42.0,1467159.274,561150.077,453361.274,282413.999,1467159.274,194.805133
8426,2019,IN,IN,OILSE,VEGE1,6522.35,1398188.871,42.0,42.0,1398188.871,486143.874,469668.225,303562.876,1398188.871,214.368881
2430,2019,IN,IN,COMPU,FINAN,6352.43,1310259.63,42.0,42.0,1310259.63,510250.99,404815.684,309676.716,1310259.63,206.261168
2587,2019,IN,IN,CONST,PUBLI,6128.46,1292785.877,42.0,42.0,1292785.877,486356.383,476552.272,271248.482,1292785.877,210.947918
7857,2019,IN,IN,NATUR,NATUR,6073.16,1262332.706,42.0,42.0,1262332.706,485006.031,424481.005,265363.966,1262332.706,207.854347
747,2019,IN,IN,BASIC,OFFIC,1593.75,1198289.772,42.0,42.0,1198289.772,420428.925,387998.274,312062.523,1198289.772,751.868092
5480,2019,IN,IN,GASDI,PADDY,5821.21,1184566.156,42.0,42.0,1184566.156,434144.168,378424.225,323791.096,1184566.156,203.491397
12486,2019,IN,IN,VEGET,VEGET,5388.97,1166804.614,42.0,42.0,1166804.614,424974.404,419948.101,216876.559,1166804.614,216.517185
8724,2019,IN,IN,PFERT,CHEM1,4994.15,1150647.358,42.0,42.0,1150647.358,459963.493,300520.618,329664.266,1150647.358,230.399038
5088,2019,IN,IN,FORES,FORES,5540.83,1089366.074,42.0,42.0,1089366.074,410183.623,310507.985,322674.85,1089366.074,196.60702
10770,2019,IN,IN,RETA1,TEXTI,4833.34,1087902.976,42.0,42.0,1087902.976,441179.84,321778.274,272699.441,1087902.976,225.083064
12837,2019,IN,IN,WHEAT,WHEAT,6946.06,1086820.904,42.0,42.0,1086820.904,416879.393,383494.198,235590.127,1086820.904,156.46581
1474,2019,IN,IN,BUSIN,PUBLI,5424.37,1074520.967,42.0,42.0,1074520.967,369605.679,384512.353,253969.918,1074520.967,198.091385
12870,2019,IN,IN,WHOLE,COMPU,4493.21,1027460.387,42.0,42.0,1027460.387,327877.661,339211.555,308329.521,1027460.387,228.669567
7654,2019,IN,IN,MOTOR,MOTOR,4685.97,1026638.476,42.0,42.0,1026638.476,373451.556,337500.912,279838.835,1026638.476,219.087718
1755,2019,IN,IN,CEREA,FOOD5,5054.17,1025902.667,42.0,42.0,1025902.667,351274.71,298856.167,290019.149,1025902.667,202.981433
12748,2019,IN,IN,WEARI,TEXTI,3750.49,1006724.398,42.0,42.0,1006724.398,337708.521,371672.373,236971.101,1006724.398,268.424765
12294,2019,IN,IN,TRANS,TRANS,5086.8,1002742.434,42.0,42.0,1002742.434,356581.977,363728.435,235510.946,1002742.434,197.126373
6390,2019,IN,IN,LANDT,WHOLE,4455.35,998678.913,42.0,42.0,998678.913,393518.032,357243.705,192575.055,998678.913,224.152741
1397,2019,IN,IN,BUSIN,COMPU,4782.85,995561.558,42.0,42.0,995561.558,410524.502,298346.94,267767.37,995561.558,208.152369
4453,2019,IN,IN,FABRI,MOTO1,3775.94,954959.081,42.0,42.0,954959.081,318376.179,356829.88,247497.075,954959.081,252.906318
12848,2019,IN,IN,WHOLE,BASIC,5071.91,944041.941,42.0,42.0,944041.941,342767.787,365827.006,181369.179,944041.941,186.131446
2169,2019,IN,IN,COKEO,BASIC,5085.33,941114.051,42.0,42.0,941114.051,268089.572,339702.161,237642.802,941114.051,185.064499
1469,2019,IN,IN,BUSIN,POSTT,4027.4,939039.332,42.0,42.0,939039.332,342485.494,309477.212,207022.343,939039.332,233.162669
8312,2019,IN,IN,OFFIC,OFFIC,3657.35,923783.852,42.0,42.0,923783.852,318632.741,323733.547,202846.581,923783.852,252.582841
11751,2019,IN,IN,SUPPO,SUPPO,4694.83,905020.251,42.0,42.0,905020.251,365833.805,222939.142,266190.846,905020.251,192.769547
6298,2019,IN,IN,LANDT,FISH5,4051.88,894929.44,42.0,42.0,894929.44,324806.04,326463.583,163814.986,894929.44,220.867706
1877,2019,IN,IN,CHEM1,CHEM1,4405.17,874935.1,42.0,42.0,874935.1,321432.221,307020.048,176185.68,874935.1,198.615513
10587,2019,IN,IN,RENTI,RENTI,4493.53,874083.782,42.0,42.0,874083.782,318521.702,313296.72,210302.261,874083.782,194.520518
7944,2019,IN,IN,NFERT,PFERT,3616.66,853841.233,42.0,42.0,853841.233,309248.796,249625.55,220758.48,853841.233,236.085569
5890,2019,IN,IN,HOTEL,FINAN,3633.2,852542.569,42.0,42.0,852542.569,310854.627,342937.942,181499.259,852542.569,234.653355
4990,2019,IN,IN,FOOD5,HOTEL,3967.49,838325.307,42.0,42.0,838325.307,307839.777,281938.935,161281.885,838325.307,211.298657
4643,2019,IN,IN,FINAN,WHOLE,3524.46,830727.994,42.0,42.0,830727.994,294749.027,302262.537,177432.831,830727.994,235.703624
4751,2019,IN,IN,FISHF,FISH5,3988.12,829831.834,42.0,42.0,829831.834,282078.278,296683.428,213309.56,829831.834,208.075944
4570,2019,IN,IN,FINAN,LANDT,4186.89,821793.705,42.0,42.0,821793.705,330998.274,214411.112,183887.097,821793.705,196.277835
1960,2019,IN,IN,CHEM1,RUBBE,3370.79,803108.241,42.0,42.0,803108.241,294532.195,236953.717,208673.303,803108.241,238.255199
5638,2019,IN,IN,GLASS,CONST,3438.94,796297.028,42.0,42.0,796297.028,297542.145,279341.808,173161.815,796297.028,231.553045
10518,2019,IN,IN,RENTI,COMPU,3698.41,794925.039,42.0,42.0,794925.039,284436.111,261985.043,214086.219,794925.039,214.93697
8579,2019,IN,IN,PAPER,PAPER,3141.9,793693.684,42.0,42.0,793693.684,319876.452,233022.604,187834.975,793693.684,252.615832
10688,2019,IN,IN,RETA1,FISH5,4293.32,792134.7,42.0,42.0,792134.7,260350.592,268381.603,182046.148,792134.7,184.503997
13026,2019,IN,IN,WOODW,FURNI,3994.44,769902.497,42.0,42.0,769902.497,196278.075,297180.165,228117.656,769902.497,192.743538
6332,2019,IN,IN,LANDT,MOTO1,3177.28,735345.357,42.0,42.0,735345.357,232196.203,294526.947,161983.961,735345.357,231.438638
4423,2019,IN,IN,FABRI,FABRI,2855.87,727205.068,42.0,42.0,727205.068,248775.33,237901.527,194640.566,727205.068,254.635214
4532,2019,IN,IN,FINAN,COMPU,3462.35,727080.36,42.0,42.0,727080.36,267980.98,232465.876,170484.408,727080.36,209.996205
10514,2019,IN,IN,RENTI,CHEM1,3354.63,721373.798,42.0,42.0,721373.798,268040.815,227109.94,183916.112,721373.798,215.03826
5090,2019,IN,IN,FORES,FURNI,3694.66,717586.924,42.0,42.0,717586.924,310492.684,181127.285,177085.997,717586.924,194.222723
5522,2019,IN,IN,GASDI,WHOLE,3346.51,713182.546,42.0,42.0,713182.546,222766.123,251401.285,187299.374,713182.546,213.112331
12864,2019,IN,IN,WHOLE,CHEM1,2986.38,692338.779,42.0,42.0,692338.779,260283.098,227247.573,146591.722,692338.779,231.832111
10122,2019,IN,IN,RAWMI,HOTEL,3268.23,690617.045,42.0,42.0,690617.045,234584.4,249365.218,160934.315,690617.045,211.312253
6379,2019,IN,IN,LANDT,SUPPO,3566.58,686963.292,42.0,42.0,686963.292,264983.787,224341.782,155523.522,686963.292,192.611211
12981,2019,IN,IN,WHOLE,WEARI,2996.89,684778.569,42.0,42.0,684778.569,256780.009,195649.669,187608.626,684778.569,228.496398
9104,2019,IN,IN,POSTT,FINAN,3364.03,683457.301,42.0,42.0,683457.301,229797.422,229182.362,171360.41,683457.301,203.166232
11025,2019,IN,IN,RUBBE,RUBBE,3152.76,678679.807,42.0,42.0,678679.807,230652.848,252565.942,128326.395,678679.807,215.265294
2624,2019,IN,IN,COPP1,BASIC,3568.57,673590.27,42.0,42.0,673590.27,221471.921,252624.565,155774.745,673590.27,188.756356
716,2019,IN,IN,BASIC,FURNI,996.67,668635.599,42.0,42.0,668635.599,255975.315,183393.323,180864.531,668635.599,670.869595
2730,2019,IN,IN,CROPS,ANIMA,2584.61,668456.962,42.0,42.0,668456.962,231862.271,220208.589,161582.84,668456.962,258.629721
12945,2019,IN,IN,WHOLE,POSTT,3286.27,655690.254,42.0,42.0,655690.254,202280.993,215831.103,181413.241,655690.254,199.524158
5425,2019,IN,IN,GASDI,CRUDE,2903.93,654101.906,42.0,42.0,654101.906,198470.81,216513.15,183421.593,654101.906,225.247133
12909,2019,IN,IN,WHOLE,LANDT,2850.08,646457.533,42.0,42.0,646457.533,194392.057,181964.904,217649.5,646457.533,226.820838
5861,2019,IN,IN,HOTEL,BUSIN,3879.44,645853.603,42.0,42.0,645853.603,222702.796,182598.055,209769.305,645853.603,166.481142
1435,2019,IN,IN,BUSIN,LANDT,2896.47,644142.197,42.0,42.0,644142.197,200700.055,211270.467,172370.03,644142.197,222.3887
1737,2019,IN,IN,CEREA,CEREA,2913.76,643756.682,42.0,42.0,643756.682,258283.147,201102.995,155785.546,643756.682,220.936756
8790,2019,IN,IN,PFERT,WHEAT,2686.67,642727.051,42.0,42.0,642727.051,202894.53,233354.847,160051.161,642727.051,239.228134
6554,2019,IN,IN,LEATH,LEATH,3063.14,633820.084,42.0,42.0,633820.084,232458.029,209652.347,164387.612,633820.084,206.918418
10989,2019,IN,IN,RUBBE,MOTO1,2724.57,629755.771,42.0,42.0,629755.771,226983.957,248222.814,125434.912,629755.771,231.139509
12925,2019,IN,IN,WHOLE,MOTO1,3221.06,621703.766,42.0,42.0,621703.766,199420.344,228778.28,121558.016,621703.766,193.012166
5767,2019,IN,IN,HEALT,HEALT,2990.86,619286.925,42.0,42.0,619286.925,229415.86,182881.974,170984.833,619286.925,207.059817
1505,2019,IN,IN,BUSIN,WHOLE,3277.53,618516.898,42.0,42.0,618516.898,211712.955,171632.771,201857.272,618516.898,188.714336
12903,2019,IN,IN,WHOLE,HOTEL,2654.21,604000.645,42.0,42.0,604000.645,251568.246,176808.359,140662.706,604000.645,227.563247
9974,2019,IN,IN,RAILW,CONST,2436.91,603645.887,42.0,42.0,603645.887,183044.723,221187.161,141850.219,603645.887,247.709553
12198,2019,IN,IN,TRAN2,TRAN2,3538.52,596873.27,42.0,42.0,596873.27,216455.561,214346.399,113717.787,596873.27,168.678789
11608,2019,IN,IN,SUGAR,SUGA1,2723.13,593905.52,42.0,42.0,593905.52,222695.215,186549.087,144579.918,593905.52,218.096646
12858,2019,IN,IN,WHOLE,BUSIN,2578.27,593850.742,42.0,42.0,593850.742,207066.583,161298.004,195830.205,593850.742,230.329152
566,2019,IN,IN,AUXIL,INSUR,2644.07,593336.024,42.0,42.0,593336.024,188831.61,205150.13,149790.928,593336.024,224.40254
3180,2019,IN,IN,DISTR,TRAN1,2737.03,592853.27,42.0,42.0,592853.27,172331.423,221646.644,161125.832,592853.27,216.604593
5212,2019,IN,IN,FOUND,MACHI,2367.66,592626.908,42.0,42.0,592626.908,201371.116,205611.601,135382.45,592626.908,250.30068
2641,2019,IN,IN,COPP1,COPP1,2763.51,591615.627,42.0,42.0,591615.627,210409.864,208485.282,134696.37,591615.627,214.081233
4446,2019,IN,IN,FABRI,MACHI,2909.94,589124.9,42.0,42.0,589124.9,208396.401,211126.74,158214.889,589124.9,202.452594
9162,2019,IN,IN,POSTT,PUBLI,2510.12,588539.724,42.0,42.0,588539.724,181186.645,211095.849,150873.925,588539.724,234.466768
1149,2019,IN,IN,BITUM,CEMEN,3149.11,582454.994,42.0,42.0,582454.994,253388.239,170861.608,120402.063,582454.994,184.958605
11651,2019,IN,IN,SUPPO,CONST,2391.24,579352.685,42.0,42.0,579352.685,210867.804,185513.42,156630.15,579352.685,242.281279
5948,2019,IN,IN,HOTEL,PUBLI,2552.38,579041.534,42.0,42.0,579041.534,195548.152,189224.81,129395.025,579041.534,226.863372
12962,2019,IN,IN,WHOLE,RETA1,2591.99,577917.861,42.0,42.0,577917.861,191363.393,195287.483,131997.583,577917.861,222.962998
9953,2019,IN,IN,RAILW,BASIC,3037.13,574710.818,42.0,42.0,574710.818,165083.856,240021.467,134089.037,574710.818,189.228258
9446,2019,IN,IN,PRINT,PRINT,2788.88,571033.606,42.0,42.0,571033.606,232993.774,148542.836,122631.589,571033.606,204.753738
1478,2019,IN,IN,BUSIN,REALE,2496.82,565430.793,42.0,42.0,565430.793,197161.955,203085.54,120992.471,565430.793,226.460375
12917,2019,IN,IN,WHOLE,MACHI,2424.4,555580.405,42.0,42.0,555580.405,226454.3,156922.808,120757.453,555580.405,229.162022
9274,2019,IN,IN,PREC1,FOUND,2503.25,553455.226,42.0,42.0,553455.226,167274.721,198453.814,134792.684,553455.226,221.094667
12955,2019,IN,IN,WHOLE,RAWMI,2729.34,553354.749,42.0,42.0,553354.749,173657.951,187293.647,148085.75,553354.749,202.743062
10668,2019,IN,IN,RETA1,CONST,2656.08,551573.456,42.0,42.0,551573.456,192475.058,141662.527,169991.504,551573.456,207.664474
6310,2019,IN,IN,LANDT,HOTEL,2282.62,546796.549,42.0,42.0,546796.549,208969.608,162456.003,140904.202,546796.549,239.547778
1882,2019,IN,IN,CHEM1,CONST,2553.67,527154.116,42.0,42.0,527154.116,154104.801,216664.445,127212.882,527154.116,206.430007
1406,2019,IN,IN,BUSIN,EDUCA,3020.04,523881.352,42.0,42.0,523881.352,204699.702,144058.184,133159.452,523881.352,173.468349
8587,2019,IN,IN,PAPER,PRINT,2479.99,523255.163,42.0,42.0,523255.163,172792.248,188461.114,117759.487,523255.163,210.990836
12849,2019,IN,IN,WHOLE,BEVER,2254.24,522131.526,42.0,42.0,522131.526,141513.362,199020.171,150262.543,522131.526,231.621977
11161,2019,IN,IN,SALEM,RENTI,2480.48,520193.169,42.0,42.0,520193.169,214685.888,145738.469,120434.632,520193.169,209.71472
5122,2019,IN,IN,FORES,PAPER,2527.27,516368.717,42.0,42.0,516368.717,162061.798,208538.909,129486.709,516368.717,204.318778
11762,2019,IN,IN,SUPPO,WHOLE,2634.97,513356.035,42.0,42.0,513356.035,189362.507,174990.648,119057.384,513356.035,194.824243
6304,2019,IN,IN,LANDT,FURNI,2435.77,509763.79,42.0,42.0,509763.79,172695.96,175024.602,116400.524,509763.79,209.282399
10007,2019,IN,IN,RAILW,LANDT,2575.17,508657.784,42.0,42.0,508657.784,174066.069,188362.544,112759.344,508657.784,197.523963
10605,2019,IN,IN,RENTI,WHOLE,2215.54,505491.953,42.0,42.0,505491.953,184101.331,137717.387,149682.74,505491.953,228.157448
8407,2019,IN,IN,OILSE,OILSE,2445.53,501692.378,42.0,42.0,501692.378,176909.526,167895.365,116135.035,501692.378,205.146687
8740,2019,IN,IN,PFERT,GASDI,2182.79,499133.296,42.0,42.0,499133.296,163938.997,154431.382,129714.275,499133.296,228.667575
6255,2019,IN,IN,LANDT,BASIC,2323.7,498670.869,42.0,42.0,498670.869,191187.822,154969.478,99329.789,498670.869,214.602087
2813,2019,IN,IN,CROPS,RAWMI,2284.06,491020.822,42.0,42.0,491020.822,192708.59,176926.795,75373.507,491020.822,214.977199
5873,2019,IN,IN,HOTEL,CONST,2029.37,487999.34,42.0,42.0,487999.34,190653.053,155391.747,123427.404,487999.34,240.468392
2527,2019,IN,IN,CONST,FINAN,2018.09,485900.948,42.0,42.0,485900.948,176103.446,177085.417,102365.951,485900.948,240.772685
4541,2019,IN,IN,FINAN,EDUCA,2301.83,465885.978,42.0,42.0,465885.978,149222.29,154329.069,135511.751,465885.978,202.398082
8961,2019,IN,IN,PLANT,WHOLE,2000.81,464983.392,42.0,42.0,464983.392,165363.321,174576.836,97178.213,464983.392,232.397575
5492,2019,IN,IN,GASDI,PUBLI,2567.69,464894.834,42.0,42.0,464894.834,172973.828,136472.637,107944.079,464894.834,181.05567
9047,2019,IN,IN,PLAST,RUBBE,2140.77,462953.14,42.0,42.0,462953.14,162276.671,158404.179,107016.961,462953.14,216.255431
270,2019,IN,IN,AIRTR,SUPPO,1940.51,461782.671,42.0,42.0,461782.671,171159.163,151242.154,100856.829,461782.671,237.969746
2455,2019,IN,IN,COMPU,POSTT,2219.81,459442.451,42.0,42.0,459442.451,182084.673,150865.211,83962.009,459442.451,206.973773
2843,2019,IN,IN,CRUDE,HEAVY,732.84,455272.028,42.0,42.0,455272.028,165985.757,157855.207,109356.479,455272.028,621.24342
6301,2019,IN,IN,LANDT,FOOD5,2039.86,452218.776,42.0,42.0,452218.776,162125.169,132379.636,130114.821,452218.776,221.691085
4605,2019,IN,IN,FINAN,POSTT,2217.67,449225.266,42.0,42.0,449225.266,152362.682,175702.531,80579.34,449225.266,202.566327
9914,2019,IN,IN,RADIO,POSTT,2145.56,444381.43,42.0,42.0,444381.43,178350.208,151978.168,76611.48,444381.43,207.116757
5881,2019,IN,IN,HOTEL,EDUCA,2138.11,440956.837,42.0,42.0,440956.837,184032.452,119848.869,103239.852,440956.837,206.23674
12964,2019,IN,IN,WHOLE,RUBBE,1996.89,439570.931,42.0,42.0,439570.931,176107.466,134386.086,99774.138,439570.931,220.127764
5196,2019,IN,IN,FOUND,FOUND,2390.54,434121.84,42.0,42.0,434121.84,143620.838,154762.931,105538.149,434121.84,181.599906
2919,2019,IN,IN,DAIRY,PADDY,1941.08,433292.106,42.0,42.0,433292.106,137777.162,153255.311,117606.592,433292.106,223.222178
4521,2019,IN,IN,FINAN,BUSIN,2255.95,432075.42,42.0,42.0,432075.42,159595.01,99196.491,124849.038,432075.42,191.527037
5872,2019,IN,IN,HOTEL,COMPU,2001.2,430294.621,42.0,42.0,430294.621,175635.839,139217.624,95919.169,430294.621,215.0183
4622,2019,IN,IN,FINAN,RETA1,1941.3,429580.993,42.0,42.0,429580.993,154885.39,151441.186,102802.192,429580.993,221.285218
5022,2019,IN,IN,FOOD5,POULT,2002.07,424534.172,42.0,42.0,424534.172,147428.281,143578.453,94251.508,424534.172,212.047617
7673,2019,IN,IN,MOTOR,PUBLI,1954.52,423979.851,42.0,42.0,423979.851,144346.145,121249.412,111562.209,423979.851,216.922749
2823,2019,IN,IN,CROPS,TOBAC,1883.27,416341.941,42.0,42.0,416341.941,157497.467,151440.664,79563.558,416341.941,221.073952
509,2019,IN,IN,AUXIL,AUXIL,1891.74,414224.944,42.0,42.0,414224.944,120565.021,146992.951,99531.602,414224.944,218.96505
12889,2019,IN,IN,WHOLE,FABRI,2193.21,412227.909,42.0,42.0,412227.909,157609.393,118451.494,104398.792,412227.909,187.956424
10974,2019,IN,IN,RUBBE,LANDT,1701.28,406260.779,42.0,42.0,406260.779,117384.471,159103.713,108451.161,406260.779,238.797129
3212,2019,IN,IN,EDUCA,EDUCA,1805.64,399253.947,42.0,42.0,399253.947,152211.13,112455.685,108340.542,399253.947,221.114922
