trade_id,year,region1,region2,industry1,industry2,amount,total_impact_value,factor_count,unique_factors,air_emissions,employment,water,CO2_total,CH4_total,N2O_total,NOX_total,Water_total,Employment_total,impact_intensity
710,2019,IN,IN,BASIC,FABRI,9616.89,325783048.855,150.0,150.0,236675.485,325341709.409,204663.961,70387.977,126546.61,26920.277,11973.262,168637.734,325341709.409,33876.133433
8473,2019,IN,IN,PADDY,PROCE,12208.37,316315083.087,150.0,150.0,243826.469,315761311.885,309944.733,74317.294,134597.153,17183.748,16657.447,272839.772,315761311.885,25909.69008
13009,2019,IN,IN,WOODW,CONST,9448.95,315793362.695,150.0,150.0,224240.167,315348728.038,220394.49,55763.802,136834.74,21412.086,9853.191,187787.805,315348728.038,33421.000502
12408,2019,IN,IN,VEGET,BEVER,8621.91,305603256.566,150.0,150.0,183320.361,305219194.802,200741.403,64076.653,102419.419,5604.95,10620.237,169189.35,305219194.802,35444.960173
731,2019,IN,IN,BASIC,MACHI,8734.04,304132708.771,150.0,150.0,221805.246,303716463.9,194439.625,70107.767,107661.657,31796.744,11817.147,168405.728,303716463.9,34821.538345
3089,2019,IN,IN,DISTR,DISTR,7615.56,286862666.436,150.0,150.0,174267.615,286506447.779,181951.042,58729.888,95772.321,11319.289,8383.4,157470.614,286506447.779,37667.967482
12973,2019,IN,IN,WHOLE,TEXTI,11247.17,281140860.929,150.0,150.0,234369.323,280652191.885,254299.72,59230.055,139000.017,23000.396,12955.585,224280.68,280652191.885,24996.58678
1386,2019,IN,IN,BUSIN,BUSIN,7764.77,274460958.52,150.0,150.0,180685.222,274109706.95,170566.349,63622.327,96219.9,10931.782,9320.096,144784.366,274109706.95,35346.952778
12787,2019,IN,IN,WHEAT,FOOD5,7677.57,268877489.386,150.0,150.0,131117.316,268564170.251,182201.819,37413.875,80073.799,4425.387,9078.117,162010.953,268564170.251,35021.170681
10545,2019,IN,IN,RENTI,LANDT,6055.11,257610871.997,150.0,150.0,130370.997,257339384.583,141116.417,37943.719,72833.8,12707.876,6795.598,118107.083,257339384.583,42544.375246
7639,2019,IN,IN,MOTOR,LANDT,7592.34,256031960.875,150.0,150.0,176147.214,255683376.212,172437.449,67371.633,72367.945,26047.269,10254.584,143191.488,255683376.212,33722.404539
6380,2019,IN,IN,LANDT,TEXTI,7495.44,254166974.909,150.0,150.0,159067.089,253835261.512,172646.309,41190.828,88762.614,18724.733,10169.504,149687.803,253835261.512,33909.546992
6316,2019,IN,IN,LANDT,LANDT,7126.53,249265051.502,150.0,150.0,169996.286,248946979.597,148075.618,50025.488,95750.478,16184.152,7985.576,129368.429,248946979.597,34977.057769
12891,2019,IN,IN,WHOLE,FISH5,8953.81,240904776.987,150.0,150.0,192044.082,240512096.762,200636.143,84978.69,80357.998,15600.504,10921.454,166302.36,240512096.762,26905.281326
8762,2019,IN,IN,PFERT,PADDY,7363.25,234480682.915,150.0,150.0,141563.628,234170983.083,168136.204,28325.907,87859.549,15844.678,8969.717,141787.699,234170983.083,31844.72657
1416,2019,IN,IN,BUSIN,FINAN,8269.94,234207452.124,150.0,150.0,180287.233,233835884.813,191280.078,71007.474,74222.977,23676.749,11170.506,166080.322,233835884.813,28320.33269
2430,2019,IN,IN,COMPU,FINAN,6352.43,225157894.376,150.0,150.0,127979.008,224877241.515,152673.853,43308.194,66012.253,12260.688,5958.146,130529.229,224877241.515,35444.37237
12837,2019,IN,IN,WHEAT,WHEAT,6946.06,224937631.342,150.0,150.0,156395.818,224623705.597,157529.927,51698.086,84006.996,12519.436,8132.25,132596.663,224623705.597,32383.485219
8426,2019,IN,IN,OILSE,VEGE1,6522.35,223656696.201,150.0,150.0,153437.858,223371806.117,131452.227,52212.841,82910.835,9998.328,8294.995,111510.973,223371806.117,34290.814844
11688,2019,IN,IN,SUPPO,LANDT,6772.41,222759664.965,150.0,150.0,136567.672,222464827.615,158269.678,53207.093,55686.381,18280.951,9203.329,133622.384,222464827.615,32892.229644
676,2019,IN,IN,BASIC,BASIC,5768.49,206081333.74,150.0,150.0,135120.331,205813096.435,133116.975,35815.422,84792.404,7253.995,7199.467,114158.754,205813096.435,35725.35165
709,2019,IN,IN,BASIC,ELECT,6778.17,203222255.456,150.0,150.0,122411.561,202955968.033,143875.862,35707.151,57512.675,20322.48,8450.096,129387.411,202955968.033,29981.876444
2587,2019,IN,IN,CONST,PUBLI,6128.46,193259510.992,150.0,150.0,155158.346,192977303.879,127048.767,41775.566,95773.788,9639.391,7634.12,104468.435,192977303.879,31534.759302
12294,2019,IN,IN,TRANS,TRANS,5086.8,192971364.719,150.0,150.0,121409.417,192726616.581,123338.721,27199.595,75658.077,12291.023,5967.002,104096.619,192726616.581,37935.709035
5480,2019,IN,IN,GASDI,PADDY,5821.21,191923093.529,150.0,150.0,110320.229,191669239.451,143533.849,46896.637,47216.893,8882.301,7301.276,125622.506,191669239.451,32969.622042
10945,2019,IN,IN,RUBBE,CONST,6892.95,191614906.021,150.0,150.0,158094.649,191308603.233,148208.139,48401.305,82197.02,17268.723,9757.956,125416.487,191308603.233,27798.679233
7857,2019,IN,IN,NATUR,NATUR,6073.16,190057649.932,150.0,150.0,153334.521,189770665.482,133649.929,48418.088,80900.093,17127.688,6579.108,116825.546,189770665.482,31294.688421
5155,2019,IN,IN,FORES,WOODW,7248.24,186605869.89,150.0,150.0,172040.689,186250428.617,183400.584,63355.79,93913.543,6101.24,8237.716,154361.707,186250428.617,25744.990493
715,2019,IN,IN,BASIC,FOUND,7229.47,184312605.832,150.0,150.0,152819.497,184004426.942,155359.393,39481.329,77009.18,26856.92,9431.155,137569.344,184004426.942,25494.622127
1474,2019,IN,IN,BUSIN,PUBLI,5424.37,181454951.901,150.0,150.0,132911.852,181205788.443,116251.606,33746.915,82285.459,10075.187,6549.547,101160.57,181205788.443,33451.802127
5088,2019,IN,IN,FORES,FORES,5540.83,181281998.003,150.0,150.0,118267.882,181043606.199,120123.922,38106.764,56299.525,15572.254,7736.122,98527.006,181043606.199,32717.480595
10770,2019,IN,IN,RETA1,TEXTI,4833.34,177172553.175,150.0,150.0,103639.001,176943207.03,125707.145,29112.931,53548.359,14243.334,6533.612,109089.193,176943207.03,36656.339752
7654,2019,IN,IN,MOTOR,MOTOR,4685.97,173596539.525,150.0,150.0,103634.933,173377491.786,115412.807,33414.287,54783.367,8523.853,6741.99,94564.853,173377491.786,37046.020253
4570,2019,IN,IN,FINAN,LANDT,4186.89,169713034.325,150.0,150.0,100105.047,169516722.37,96206.907,34998.54,49168.167,10848.207,4963.332,77809.932,169516722.37,40534.39052
12848,2019,IN,IN,WHOLE,BASIC,5071.91,169324692.963,150.0,150.0,117214.813,169097916.457,109561.693,42418.932,53406.335,14482.838,6709.412,99796.207,169097916.457,33384.798422
6298,2019,IN,IN,LANDT,FISH5,4051.88,167919420.313,150.0,150.0,98051.226,167727258.799,94110.287,30826.433,58846.602,2699.302,5636.514,77929.15,167727258.799,41442.347827
7630,2019,IN,IN,MOTOR,GASDI,7531.42,164333656.685,150.0,150.0,159954.778,164001515.982,172185.925,49232.937,81276.232,19066.678,10065.253,149940.578,164001515.982,21819.744044
12486,2019,IN,IN,VEGET,VEGET,5388.97,164159788.657,150.0,150.0,129235.077,163913157.122,117396.458,37028.529,76162.098,10423.666,5256.737,101630.022,163913157.122,30462.182691
1877,2019,IN,IN,CHEM1,CHEM1,4405.17,163706839.707,150.0,150.0,103864.925,163504596.763,98378.019,40149.046,49483.95,8033.92,5846.028,86193.706,163504596.763,37162.434073
4751,2019,IN,IN,FISHF,FISH5,3988.12,162049598.646,150.0,150.0,81379.399,161879280.443,88938.804,26792.335,40605.465,9562.669,4023.209,75326.219,161879280.443,40633.079909
10688,2019,IN,IN,RETA1,FISH5,4293.32,162001544.149,150.0,150.0,85747.033,161818814.721,96982.395,25956.402,48962.935,5460.596,5292.822,87382.979,161818814.721,37733.396101
5861,2019,IN,IN,HOTEL,BUSIN,3879.44,160348345.52,150.0,150.0,101961.675,160157186.136,89197.71,32782.203,59347.632,4921.499,4787.393,79052.103,160157186.136,41332.858742
11751,2019,IN,IN,SUPPO,SUPPO,4694.83,160217527.976,150.0,150.0,115466.305,160001947.626,100114.046,35075.708,67344.958,6571.57,6071.833,85689.839,160001947.626,34126.374752
1397,2019,IN,IN,BUSIN,COMPU,4782.85,158776193.638,150.0,150.0,107456.618,158565184.574,103552.447,48114.825,44986.552,8260.858,5706.313,89777.273,158565184.574,33196.983731
2169,2019,IN,IN,COKEO,BASIC,5085.33,152905978.967,150.0,150.0,89981.264,152696194.968,119802.734,35029.951,42922.417,5495.242,6400.945,104692.645,152696194.968,30068.054377
10587,2019,IN,IN,RENTI,RENTI,4493.53,151220197.747,150.0,150.0,107632.963,151004674.904,107889.879,36475.591,53596.402,11085.102,6172.981,94250.065,151004674.904,33652.873742
9104,2019,IN,IN,POSTT,FINAN,3364.03,148963542.866,150.0,150.0,73355.44,148813075.741,77111.684,24163.72,35532.93,9259.461,4118.274,69292.838,148813075.741,44281.276584
7944,2019,IN,IN,NFERT,PFERT,3616.66,147116611.042,150.0,150.0,101391.92,146930590.647,84628.474,38671.156,49366.467,9537.199,3661.548,70822.556,146930590.647,40677.478956
4453,2019,IN,IN,FABRI,MOTO1,3775.94,146179128.607,150.0,150.0,91168.578,146009967.452,77992.576,30024.786,43723.802,12156.11,4887.164,66230.617,146009967.452,38713.308105
1755,2019,IN,IN,CEREA,FOOD5,5054.17,144147728.413,150.0,150.0,99258.781,143929800.471,118669.161,27291.963,57888.186,7090.685,6499.05,101427.897,143929800.471,28520.554001
10514,2019,IN,IN,RENTI,CHEM1,3354.63,140249100.454,150.0,150.0,83161.869,140091876.359,74062.225,26768.166,41256.251,10724.084,4141.088,64952.778,140091876.359,41807.621244
4423,2019,IN,IN,FABRI,FABRI,2855.87,139537923.588,150.0,150.0,67690.328,139397637.518,72595.742,20544.929,38733.831,3811.115,4459.001,60892.287,139397637.518,48860.040404
2624,2019,IN,IN,COPP1,BASIC,3568.57,139520492.708,150.0,150.0,72944.829,139366353.412,81194.466,27387.369,33479.134,7612.627,4237.316,71700.681,139366353.412,39097.031222
8724,2019,IN,IN,PFERT,CHEM1,4994.15,136134756.082,150.0,150.0,122110.085,135896509.038,116136.96,36608.213,65003.373,12460.126,7664.786,99679.816,135896509.038,27258.844064
6245,2019,IN,IN,KEROS,AIRTR,6362.85,135860064.771,150.0,150.0,149439.62,135559612.184,151012.967,53511.435,70961.356,17079.798,7350.627,131560.878,135559612.184,21352.077256
8579,2019,IN,IN,PAPER,PAPER,3141.9,134780292.341,150.0,150.0,81155.451,134629536.213,69600.677,32938.691,35590.525,8623.602,3788.406,59771.982,134629536.213,42897.702773
9953,2019,IN,IN,RAILW,BASIC,3037.13,132930323.832,150.0,150.0,77987.417,132781117.547,71218.868,26493.265,41432.53,5335.594,4521.572,57967.42,132781117.547,43768.401034
2846,2019,IN,IN,CRUDE,LIQUE,3967.11,130176181.545,150.0,150.0,232993.232,129855883.244,87305.07,59434.039,150757.007,17264.47,5159.692,76850.862,129855883.244,32813.857328
4643,2019,IN,IN,FINAN,WHOLE,3524.46,129589751.261,150.0,150.0,80145.634,129424056.586,85549.041,23952.297,42639.127,8625.65,4633.674,71356.653,129424056.586,36768.682652
13026,2019,IN,IN,WOODW,FURNI,3994.44,129496831.756,150.0,150.0,93200.326,129309628.078,94003.352,34621.774,44751.379,8224.105,5277.954,82939.73,129309628.078,32419.270725
775,2019,IN,IN,BASIC,TRANS,3509.09,129163108.901,150.0,150.0,73499.001,129005801.545,83808.356,29692.273,34600.599,4258.412,4793.53,72433.825,129005801.545,36808.149378
5090,2019,IN,IN,FORES,FURNI,3694.66,128616150.495,150.0,150.0,81493.806,128455871.542,78785.147,21577.414,50615.045,4439.627,4609.836,68323.437,128455871.542,34811.36302
6554,2019,IN,IN,LEATH,LEATH,3063.14,127116316.367,150.0,150.0,83191.143,126959346.743,73778.481,26992.579,44474.825,7697.424,3927.096,62277.362,126959346.743,41498.696229
5890,2019,IN,IN,HOTEL,FINAN,3633.2,126610897.858,150.0,150.0,66885.589,126458955.69,85056.579,27857.218,28702.127,6069.581,4205.906,72246.262,126458955.69,34848.314945
5522,2019,IN,IN,GASDI,WHOLE,3346.51,122284889.172,150.0,150.0,85795.192,122126437.21,72656.77,27533.144,43554.383,9794.936,4598.222,63796.021,122126437.21,36541.020099
10518,2019,IN,IN,RENTI,COMPU,3698.41,122089732.707,150.0,150.0,83586.519,121917744.155,88402.033,26864.417,42606.829,9796.655,4250.254,76320.679,121917744.155,33011.411041
11025,2019,IN,IN,RUBBE,RUBBE,3152.76,120924069.005,150.0,150.0,70848.992,120777126.801,76093.213,21707.453,39066.228,5609.879,4301.012,63425.104,120777126.801,38354.987061
12962,2019,IN,IN,WHOLE,RETA1,2591.99,120865434.77,150.0,150.0,64163.938,120737250.355,64020.477,20015.313,33347.239,7327.972,3408.175,54615.232,120737250.355,46630.363069
2845,2019,IN,IN,CRUDE,KEROS,2833.04,119495116.869,150.0,150.0,207723.465,119231021.036,56372.367,62842.024,115430.984,25754.736,3416.511,48992.845,119231021.036,42179.113909
6390,2019,IN,IN,LANDT,WHOLE,4455.35,117562265.571,150.0,150.0,91805.663,117363508.521,106951.388,32949.342,40591.287,11795.097,6098.663,94200.336,117363508.521,26386.763233
1149,2019,IN,IN,BITUM,CEMEN,3149.11,116901647.493,150.0,150.0,64287.311,116759362.361,77997.821,22163.617,30833.867,7013.455,4066.271,66961.526,116759362.361,37122.122597
1960,2019,IN,IN,CHEM1,RUBBE,3370.79,114306877.622,150.0,150.0,70028.94,114153330.235,83518.448,28956.739,28081.231,9435.894,3425.327,73181.965,114153330.235,33911.00532
5638,2019,IN,IN,GLASS,CONST,3438.94,114231870.689,150.0,150.0,72564.854,114086956.795,72349.04,19102.631,42325.182,6445.201,4490.051,64354.516,114086956.795,33217.174679
1469,2019,IN,IN,BUSIN,POSTT,4027.4,113944426.714,150.0,150.0,78651.151,113773905.338,91870.224,22964.535,42527.105,7812.418,5163.773,78871.884,113773905.338,28292.304393
1737,2019,IN,IN,CEREA,CEREA,2913.76,113685551.945,150.0,150.0,74538.342,113542560.509,68453.095,22674.749,44234.221,2752.25,4679.79,56367.543,113542560.509,39016.786539
1435,2019,IN,IN,BUSIN,LANDT,2896.47,112375650.492,150.0,150.0,57054.109,112251571.359,67025.024,17018.237,31677.968,3966.414,4133.609,57924.59,112251571.359,38797.450169
8312,2019,IN,IN,OFFIC,OFFIC,3657.35,109413171.88,150.0,150.0,81603.555,109243190.391,88377.934,24635.048,39198.21,12944.831,4790.793,77647.156,109243190.391,29915.969727
4446,2019,IN,IN,FABRI,MACHI,2909.94,109042409.595,150.0,150.0,69864.728,108911885.906,60658.961,22465.349,40691.815,3322.005,3221.138,52954.438,108911885.906,37472.391044
6332,2019,IN,IN,LANDT,MOTO1,3177.28,108410061.745,150.0,150.0,62898.12,108275759.264,71404.361,22509.81,33354.748,3585.672,3292.95,58447.985,108275759.264,34120.399129
4532,2019,IN,IN,FINAN,COMPU,3462.35,107437821.015,150.0,150.0,80722.691,107276427.66,80670.664,31007.197,40993.431,4271.184,4423.902,70448.22,107276427.66,31030.317852
10122,2019,IN,IN,RAWMI,HOTEL,3268.23,106667350.357,150.0,150.0,62194.346,106523051.383,82104.628,30990.739,24510.585,1622.768,4749.966,71433.072,106523051.383,32637.65107
1505,2019,IN,IN,BUSIN,WHOLE,3277.53,104755249.724,150.0,150.0,67202.404,104605735.533,82311.787,16644.697,36367.903,10624.397,3384.885,71100.922,104605735.533,31961.644813
5122,2019,IN,IN,FORES,PAPER,2527.27,103777409.437,150.0,150.0,60180.447,103651663.331,65565.659,19713.541,31071.028,6229.212,3164.126,55551.039,103651663.331,41063.048047
12955,2019,IN,IN,WHOLE,RAWMI,2729.34,103332490.948,150.0,150.0,65604.621,103205696.447,61189.88,16328.381,40358.761,5139.303,3722.592,53862.139,103205696.447,37859.882224
12864,2019,IN,IN,WHOLE,CHEM1,2986.38,103199143.775,150.0,150.0,65816.959,103064037.334,69289.482,27360.211,28493.735,5820.095,3938.975,61111.414,103064037.334,34556.601563
12870,2019,IN,IN,WHOLE,COMPU,4493.21,101954019.469,150.0,150.0,110043.722,101736738.057,107237.69,40505.796,53381.457,11119.042,5027.952,90368.88,101736738.057,22690.686496
12198,2019,IN,IN,TRAN2,TRAN2,3538.52,101672686.399,150.0,150.0,77292.977,101512634.129,82759.293,15380.732,48551.613,8550.507,4666.409,68995.194,101512634.129,28733.110566
2730,2019,IN,IN,CROPS,ANIMA,2584.61,101241711.297,150.0,150.0,52462.749,101134581.452,54667.096,20501.194,22586.127,5761.652,3416.73,46946.311,101134581.452,39170.98181
8587,2019,IN,IN,PAPER,PRINT,2479.99,100406157.759,150.0,150.0,55691.89,100292377.579,58088.289,15514.37,33401.821,2938.274,3615.099,52190.038,100292377.579,40486.517187
12909,2019,IN,IN,WHOLE,LANDT,2850.08,99066269.634,150.0,150.0,58773.37,98940546.242,66950.022,14155.335,31184.175,8932.691,4334.463,59766.852,98940546.242,34759.118914
5425,2019,IN,IN,GASDI,CRUDE,2903.93,97562049.486,150.0,150.0,67573.406,97425612.909,68863.171,21029.758,37312.881,5299.287,3682.937,61630.118,97425612.909,33596.556903
5492,2019,IN,IN,GASDI,PUBLI,2567.69,96792491.94,150.0,150.0,61551.759,96673867.157,57073.023,18351.844,33676.374,6153.341,3191.418,50756.464,96673867.157,37696.33092
8790,2019,IN,IN,PFERT,WHEAT,2686.67,96550221.115,150.0,150.0,66897.233,96423632.72,59691.162,25269.057,30335.378,7273.567,3783.269,51656.663,96423632.72,35936.76228
4990,2019,IN,IN,FOOD5,HOTEL,3967.49,96446495.312,150.0,150.0,85586.487,96088031.221,272877.604,29070.138,44110.491,6719.285,5521.156,234655.78,96088031.221,24309.196825
10989,2019,IN,IN,RUBBE,MOTO1,2724.57,95833683.178,150.0,150.0,59985.687,95712410.569,61286.922,19412.598,31299.734,5838.826,3376.855,55040.144,95712410.569,35173.874475
12945,2019,IN,IN,WHOLE,POSTT,3286.27,95095225.361,150.0,150.0,61866.538,94963374.742,69984.082,29719.545,22224.141,5660.296,4190.797,60696.594,94963374.742,28937.13096
12981,2019,IN,IN,WHOLE,WEARI,2996.89,94707682.946,150.0,150.0,61936.66,94570455.601,75290.685,25016.333,25964.241,7223.442,3697.807,67534.172,94570455.601,31601.988377
2651,2019,IN,IN,COPP1,ELECT,2226.22,94701776.545,150.0,150.0,46313.159,94607916.056,47547.33,14585.352,23058.579,6083.969,2491.299,40294.437,94607916.056,42539.271296
566,2019,IN,IN,AUXIL,INSUR,2644.07,94183822.098,150.0,150.0,69022.934,94055752.195,59046.969,24490.141,34711.952,6620.286,3020.788,52212.283,94055752.195,35620.774827
5767,2019,IN,IN,HEALT,HEALT,2990.86,93238363.737,150.0,150.0,64330.051,93110756.368,63277.318,25835.813,29330.943,5438.508,3708.167,54465.716,93110756.368,31174.432684
11161,2019,IN,IN,SALEM,RENTI,2480.48,92553881.839,150.0,150.0,59024.624,92435974.299,58882.916,17329.307,32857.715,5190.145,3425.948,51440.471,92435974.299,37312.891795
11762,2019,IN,IN,SUPPO,WHOLE,2634.97,92028296.656,150.0,150.0,65775.343,91897678.305,64843.007,27061.875,27899.809,6896.155,3658.544,56414.952,91897678.305,34925.747411
6304,2019,IN,IN,LANDT,FURNI,2435.77,91984341.981,150.0,150.0,59846.33,91870027.624,54468.026,18871.657,31125.855,6755.825,2952.057,44585.824,91870027.624,37763.968676
12917,2019,IN,IN,WHOLE,MACHI,2424.4,91823394.904,150.0,150.0,49080.295,91719152.744,55161.865,18362.112,20393.833,7052.185,3153.135,47832.65,91719152.744,37874.688543
11651,2019,IN,IN,SUPPO,CONST,2391.24,91333382.615,150.0,150.0,62360.772,91213105.226,57916.617,18602.911,35168.211,5255.415,3195.207,51588.04,91213105.226,38194.987795
12858,2019,IN,IN,WHOLE,BUSIN,2578.27,89636990.277,150.0,150.0,57802.901,89521970.219,57217.157,22968.793,24259.219,7629.844,2893.888,47952.245,89521970.219,34766.331795
5196,2019,IN,IN,FOUND,FOUND,2390.54,87062065.386,150.0,150.0,56180.377,86948867.937,57017.072,15584.716,32232.247,4910.257,3308.382,48997.317,86948867.937,36419.413767
10605,2019,IN,IN,RENTI,WHOLE,2215.54,87001368.464,150.0,150.0,41753.589,86913800.68,45814.194,13248.379,21404.472,3857.971,3187.388,40409.306,86913800.68,39268.69678
2850,2019,IN,IN,CRUDE,NAPHT,2641.02,85795850.531,150.0,150.0,148276.423,85585058.801,62515.307,54265.767,78626.917,11764.365,3570.028,53156.781,85585058.801,32485.87687
2813,2019,IN,IN,CROPS,RAWMI,2284.06,85525194.068,150.0,150.0,56969.87,85414868.28,53355.918,15741.164,30548.239,7316.699,3263.731,44412.25,85414868.28,37444.37277
4521,2019,IN,IN,FINAN,BUSIN,2255.95,85426122.134,150.0,150.0,47546.025,85325519.194,53056.915,14176.729,24104.399,6153.399,2937.803,44308.983,85325519.194,37867.028141
3180,2019,IN,IN,DISTR,TRAN1,2737.03,85315426.902,150.0,150.0,58890.29,85198162.517,58374.095,17515.934,31034.053,6181.291,3994.901,49753.844,85198162.517,31170.804449
12925,2019,IN,IN,WHOLE,MOTO1,3221.06,83863493.792,150.0,150.0,81887.242,83705336.01,76270.54,31370.901,34946.014,11569.36,3857.366,64343.183,83705336.01,26035.992435
